resp,dt,weight
21,28/01/2015,5.311429778
22,28/01/2015,1.638059439
24,28/01/2015,11.92100684
25,28/01/2015,0.882029806
26,28/01/2015,1.227958394
27,28/01/2015,4.678886404
28,28/01/2015,7.092974715
29,28/01/2015,2.700189793
23,28/01/2015,15.29084039
1,29/01/2015,3.777532961
2,29/01/2015,4.738718809
3,29/01/2015,1.853951668
4,29/01/2015,3.631974071
5,29/01/2015,7.942361681
6,29/01/2015,2.031456685
7,29/01/2015,2.810634061
8,29/01/2015,0.651524316
9,29/01/2015,1.634626057
10,29/01/2015,1.370271749
11,29/01/2015,3.603756894
12,29/01/2015,1.300986587
13,29/01/2015,6.339743271
14,29/01/2015,16.02884911
15,29/01/2015,5.086451555
16,29/01/2015,1.142804389
17,29/01/2015,1.730565749
18,29/01/2015,2.800255049
19,29/01/2015,0.747941715
20,29/01/2015,0.770003495
21,29/01/2015,10.05214065
22,29/01/2015,2.402776068
24,29/01/2015,7.719677323
25,29/01/2015,0.651524316
26,29/01/2015,0.770003495
27,29/01/2015,3.671620194
28,29/01/2015,4.196008617
29,29/01/2015,1.807093054
23,29/01/2015,15.29084039
1,30/01/2015,3.174139735
2,30/01/2015,5.405773314
3,30/01/2015,1.803143703
4,30/01/2015,2.596632666
5,30/01/2015,6.016952001
6,30/01/2015,1.783331515
7,30/01/2015,3.948485417
8,30/01/2015,0.776244878
9,30/01/2015,1.113632947
10,30/01/2015,1.449271599
11,30/01/2015,2.984700975
12,30/01/2015,1.266688916
13,30/01/2015,4.495241956
14,30/01/2015,11.37703941
15,30/01/2015,4.273802343
16,30/01/2015,1.433216227
17,30/01/2015,1.688111677
18,30/01/2015,3.098589801
19,30/01/2015,1.092850767
20,30/01/2015,1.018004277
21,30/01/2015,7.028582368
22,30/01/2015,2.716828485
23,30/01/2015,16.13052145
24,30/01/2015,9.264379736
25,30/01/2015,0.776244878
26,30/01/2015,1.018004277
27,30/01/2015,4.945250528
28,30/01/2015,5.558948525
29,30/01/2015,2.082955698
1,31/01/2015,3.191835031
2,31/01/2015,5.226469795
3,31/01/2015,1.797467049
4,31/01/2015,3.334781548
5,31/01/2015,5.347948842
6,31/01/2015,1.818132495
7,31/01/2015,4.201447521
8,31/01/2015,0.760200877
9,31/01/2015,1.351486769
10,31/01/2015,1.22486249
11,31/01/2015,3.436704356
12,31/01/2015,1.117399856
13,31/01/2015,4.965375831
14,31/01/2015,11.95680233
15,31/01/2015,3.787619302
16,31/01/2015,1.139668304
17,31/01/2015,1.478453897
18,31/01/2015,3.483707489
19,31/01/2015,0.759605211
20,31/01/2015,0.733144031
21,31/01/2015,6.179160794
22,31/01/2015,2.733376706
23,31/01/2015,14.40702945
24,31/01/2015,9.333481732
25,31/01/2015,0.760200877
26,31/01/2015,0.733144031
27,31/01/2015,5.570534578
28,31/01/2015,5.932255756
29,31/01/2015,2.507564633
1,01/02/2015,3.269409252
2,01/02/2015,5.659707092
3,01/02/2015,1.5201172
4,01/02/2015,3.370212224
5,01/02/2015,5.669897425
6,01/02/2015,1.71628598
7,01/02/2015,4.242728781
8,01/02/2015,1.187424924
9,01/02/2015,1.147604968
10,01/02/2015,1.329653622
11,01/02/2015,2.973380228
12,01/02/2015,0.968343617
13,01/02/2015,4.793644271
14,01/02/2015,10.07742604
15,01/02/2015,3.822016126
16,01/02/2015,1.165860212
17,01/02/2015,1.517272433
18,01/02/2015,3.531057994
19,01/02/2015,1.066779499
20,01/02/2015,1.297710983
21,01/02/2015,5.797256325
22,01/02/2015,2.132683948
23,01/02/2015,16.06825939
24,01/02/2015,9.056818466
25,01/02/2015,1.187424924
26,01/02/2015,1.297710983
27,01/02/2015,5.222395375
28,01/02/2015,6.294017659
29,01/02/2015,2.446466962
1,02/02/2015,3.714045683
2,02/02/2015,5.757577066
